season,episode_num,imdb_rating,title
9,17,8.5,The One with the Memorial Service
9,18,8.6,The One with the Lottery
9,19,8.1,The One with Rachel's Dream
9,20,8.2,The One with the Soap Opera Party
9,21,8.2,The One with the Fertility Test
9,22,7.8,The One with the Donor
9,23,8.5,The One in Barbados
9,24,8.7,The One in Barbados
10,1,8.5,The One After Joey and Rachel Kiss
10,2,8.8,The One Where Ross Is Fine
10,3,8.8,The One with Ross's Tan
10,4,8.3,The One with the Cake
10,5,8.2,The One Where Rachel's Sister Babysits
10,6,8.2,The One with Ross' Grant
10,7,8.3,The One with the Home Study
10,8,8.9,The One with the Late Thanksgiving
10,9,8.6,The One with the Birth Mother
10,10,8.0,The One Where Chandler Gets Caught
10,11,9.0,The One Where the Stripper Cries
10,12,8.9,The One with Phoebe's Wedding
10,13,8.5,The One Where Joey Speaks French
10,14,8.6,The One with Princess Consuela
10,15,8.5,The One Where Estelle Dies
10,16,9.0,The One with Rachel's Going Away Party
10,17,9.7,The Last One: Part 2
